expression,reading,meaning_en,meaning_vi
爱,ài,to love,Yêu
八,bā,eight,Tám
爸爸,bà ba,(informal) father,"Bố, ba"
杯子,bēi zi,cup,"Cốc, tách"
北京,Běi jīng,Beijing,Bắc Kinh
本,běn,roots or stems of plants,"Cuốn, quyển (lượng từ)"
不客气,bù kè qi,you're welcome,"Không có gì, đừng khách sáo"
不,bù,(negative prefix),Không
菜,cài,dish (type of food),"Món ăn, rau"
茶,chá,tea,Trà
吃,chī,to eat,Ăn
出租车,chū zū chē,taxi,Taxi
打电话,dǎ diàn huà,to make a telephone call,Gọi điện thoại
大,dà,big,"To, lớn"
的,de,of,Của
点,diǎn,point,"Giờ, điểm"
电脑,diàn nǎo,computer,Máy tính
电视,diàn shì,television,Tivi
电影,diàn yǐng,movie,Phim
东西,dōng xi,thing,"Đồ đạc, thứ"
都,dōu,all,"Đều, tất cả"
读,dú,to read,Đọc
对不起,duì bu qǐ,unworthy,Xin lỗi
多,duō,many,Nhiều
多少,duō shǎo,how much,Bao nhiêu
儿子,ér zi,son,Con trai
二,èr,two,Hai
饭店,fàn diàn,restaurant,Nhà hàng
飞机,fēi jī,airplane,Máy bay
分钟,fēn zhōng,minute,Phút
高兴,gāo xìng,happy,Vui mừng
个,gè,individual,"Cái, chiếc (lượng từ)"
工作,gōng zuò,job,Công việc
汉语,Hàn yǔ,Chinese language,Tiếng Trung
好,hǎo,good,Tốt
号,hào,day of a month,"Ngày, số"
喝,hē,to drink,Uống
和,hé,and,Và
很,hěn,(adverb of degree),Rất
后面,hòu mian,rear,Phía sau
回,huí,to go back,Quay lại
会,huì,can,"Biết, có thể"
几,jǐ,how much,Mấy
家,jiā,home,Nhà
叫,jiào,to call,"Gọi, tên là"
今天,jīn tiān,today,Hôm nay
九,jiǔ,nine,Chín
开,kāi,to open,Mở
看,kàn,to see,"Xem, nhìn"
看见,kàn jiàn,to see,Nhìn thấy
块,kuài,lump (of earth),"Đồng (đơn vị tiền), miếng"
来,lái,to come,Đến
老师,lǎo shī,teacher,Giáo viên
了,le,(modal particle intensifying preceding clause),"Rồi (trợ từ)"
冷,lěng,cold,Lạnh
里,lǐ,lining,Trong
零,líng,zero,Số 0
六,liù,six,Sáu
妈妈,mā ma,mama,Mẹ
吗,ma,(question tag),"Chăng, không (trợ từ nghi vấn)"
买,mǎi,to buy,Mua
猫,māo,cat,Con mèo
没关系,méi guān xi,it doesn't matter,Không sao đâu
没有,méi yǒu,haven't,Không có
米饭,mǐ fàn,(cooked) rice,Cơm
明天,míng tiān,tomorrow,Ngày mai
名字,míng zi,name (of a person or thing),Tên
哪,nǎ,how,Nào
哪儿,nǎ r,where?,Ở đâu
那,nà,that,"Đó, kia"
呢,ne,(question particle for subjects already mentioned),"Nghỉ, nhỉ (trợ từ)"
能,néng,can,Có thể
你,nǐ,you,Bạn
年,nián,year,Năm
女儿,nǚ ér,daughter,Con gái
朋友,péng you,friend,Bạn bè
漂亮,piào liang,pretty,Đẹp
苹果,píng guǒ,apple,Quả táo
七,qī,seven,Bảy
钱,qián,coin,Tiền
前面,qián miàn,ahead,Phía trước
请,qǐng,to ask,Mời
去,qù,to go,Đi
热,rè,to warm up,Nóng
人,rén,man,Người
认识,rèn shi,to know,Quen biết
三,sān,three,Ba
商店,shāng diàn,store,Cửa hàng
上,shàng,on top,Trên
上午,shàng wǔ,morning,Buổi sáng
少,shǎo,few,Ít
谁,shéi,who,Ai
什么,shén me,what?,Cái gì
十,shí,ten,Mười
时候,shí hou,time,"Lúc, khi"
是,shì,is,Là
书,shū,book,Sách
水果,shuǐ guǒ,fruit,Hoa quả
睡觉,shuì jiào,to go to bed,Đi ngủ
说话,shuō huà,to speak,Nói chuyện
四,sì,four,Bốn
岁,suì,classifier for years (of age),Tuổi
太,tài,highest,"Quá, lắm"
天气,tiān qì,weather,Thời tiết
听,tīng,to listen,Nghe
同学,tóng xué,to study at the same school,Bạn cùng học
喂,wèi,hello (on the phone),"Alo, này"
我,wǒ,I,"Tôi, tớ"
Chúng ta,wǒ men,we,Chúng tôi
五,wǔ,five,Năm
喜欢,xǐ huan,to like,Thích
下,xià,down,Dưới
下午,xià wǔ,afternoon,Buổi chiều
下雨,xià yǔ,to rain,Mưa
先生,xiān sheng,teacher,"Ông, ngài"
现在,xiàn zài,now,Bây giờ
想,xiǎng,to think,"Nghĩ, muốn"
小,xiǎo,small,"Nhỏ, bé"
小姐,xiǎo jiě,young lady,"Cô gái, tiểu thư"
些,xiē,some,"Một số, một vài"
写,xiě,to write,Viết
谢谢,xiè xie,to thank,Cảm ơn
星期,xīng qī,week,Tuần
学生,xué sheng,student,Học sinh
学习,xué xí,to learn,Học tập
学校,xué xiào,school,Trường học
一,yī,one,Một
一点儿,yī diǎn r,a bit,Một chút
医生,yī shēng,doctor,Bác sĩ
医院,yī yuàn,hospital,Bệnh viện
衣服,yī fu,clothes,Quần áo
椅子,yǐ zi,chair,Cái ghế
有,yǒu,to have,Có
月,yuè,moon,Tháng
再见,zài jiàn,goodbye,Tạm biệt
在,zài,(located) at,"Ở, đang"
咱们,zán men,we (including the person spoken to),Chúng ta
怎么,zěn me,how?,"Làm sao, thế nào"
怎么样,zěn me yàng,how?,Thế nào
这,zhè,this,"Đây, này"
中国,Zhōng guó,China,Trung Quốc
中午,zhōng wǔ,noon,Buổi trưa
住,zhù,to live,"Sống, ở"
桌子,zhuō zi,table,Cái bàn
字,zì,letter,Chữ
昨天,zuó tiān,yesterday,Hôm qua
坐,zuò,to sit,Ngồi
做,zuò,to do,Làm
