哎哟,āi yō,hey,meaning_vi
挨,ái,to suffer,chịu đựng
癌症,ái zhèng,cancer,bệnh ung thư
爱不释手,ài bù shì shǒu,to love sth too much to part with it (idiom),yêu cái gì đó quá nhiều để chia tay với nó (thành ngữ)
爱戴,ài dài,to love and respect,yêu thương và tôn trọng
暧昧,ài mèi,vague,mơ hồ
安居乐业,ān jū lè yè,live in peace and work happily (idiom),sống trong hòa bình và làm việc hạnh phúc (thành ngữ)
安宁,ān níng,peaceful,hoà bình
安详,ān xiáng,serene,thanh thản
安置,ān zhì,to find a place for,để tìm một nơi cho
暗示,àn shì,to hint,gợi ý
案件,àn jiàn,law case,vụ án pháp luật
案例,àn lì,case (law),trường hợp (luật)
按摩,àn mó,massage,mát xa
昂贵,áng guì,expensive,đắt
凹凸,āo tū,bumpy,mấp mô
熬,áo,to cook on a slow fire,nấu trên lửa chậm
奥秘,ào mì,secret,bí mật
扒,bā,to hold on to,để giữ lấy
疤,bā,scar,vết sẹo
巴不得,bā bù dé,to be eager for,háo hức
巴结,bā jie,to fawn on,nịnh nọt
拔苗助长,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom),làm hỏng mọi thứ thông qua sự nhiệt tình quá mức (thành ngữ)
把关,bǎ guān,to guard a pass,để bảo vệ một đường chuyền
把手,bǎ shǒu,handle,xử lý
把戏,bǎ xì,acrobatics,nhào lộn
霸道,bà dào,the Way of the Hegemon,con đường của bá chủ
罢工,bà gōng,a strike,một cuộc đình công
掰,bāi,to break with both hands,bẻ gãy bằng cả hai tay
百分点,bǎi fēn diǎn,percentage point,điểm phần trăm
摆脱,bǎi tuō,to break away from,để thoát khỏi
拜访,bài fǎng,to pay a visit,đến thăm
拜年,bài nián,pay a New Year call,trả lời cuộc gọi năm mới
拜托,bài tuō,to request sb to do sth,yêu cầu ai làm việc gì đó
败坏,bài huài,to ruin,hủy hoại
颁布,bān bù,to issue,phát hành
颁发,bān fā,to issue,phát hành
斑纹,bān wén,stripe,sọc
版本,bǎn běn,version,phiên bản
