rank,word,part_of_speech,hanja,explanation,nikl_level,topik_level,meaning_vi
,-가13,접사,,전문가,중급,,chuyên gia
1195.0,가게,명사,,에 가다,초급,A,đi tới
898.0,가격03,명사,價格,이 비싸다,초급,B,Cái này đắt
2986.0,가구03,명사,家口,,,C,
7434.0,가구04,명사,家具,책상,초급,B,bàn
4964.0,가까워지다,동사,,,,B,
3560.0,가까이,명사,,가까이 다가오다,중급,B,đến gần hơn
1695.0,가까이,부사,,가까이 다가오다,중급,B,đến gần hơn
648.0,가깝다,형용사,,거리가,초급,A,khoảng cách
1747.0,가꾸다,동사,,나무를 가꾸다,중급,B,chăm sóc cây
852.0,가끔,부사,,가끔 보다,초급,A,Đôi khi tôi thấy nó
5071.0,가난01,명사,,에 찌들다,중급,C,bị bệnh
1716.0,가난하다,형용사,,,,B,
2757.0,가늘다,형용사,,손가락이,초급,B,ngón tay của bạn
6942.0,가능,명사,可能,주차 가능,중급,C,Có chỗ đậu xe
483.0,가능성,명사,可能性,이 높다,중급,B,Cái này cao
501.0,가능하다,형용사,可能-,,,B,
6003.0,가능해지다,동사,可能-,,,C,
25.0,가다01,동사,,학교에,초급,A,đến trường
150.0,가다01,보조 용언,,,,A,
1196.0,가득01,부사,,~ 차다; 가득 담다,초급,B,~ lạnh; đổ đầy
3561.0,가득하다01,형용사,,물이,중급,B,Nước
7971.0,가득히,부사,,물을 가득히 따르다,중급,C,đổ đầy nước
3173.0,가라앉다,동사,,먼지가,중급,C,bụi
,-가량06,접사,,한 시간가량,중급,,khoảng một giờ
6170.0,가려지다,동사,,,,C,
,가렵다,형용사,,몸이,중급,,thân hình
1956.0,가령05,부사,假令,,,C,
9014.0,가로01,명사,,~와 세로,중급,B,và dọc
,가로01,부사,,세로,중급,,chiều dài
5311.0,가로등,명사,街路燈,이 켜지다,중급,C,bật lên
4576.0,가로막다,동사,,길을,중급,C,con đường
8286.0,가로수,명사,街路樹,,,C,
2789.0,가루01,명사,,로 만들다; 분필 ~,중급,B,làm ; Phấn ~
4177.0,가르다,동사,,칼로,중급,C,với một con dao
698.0,가르치다01,동사,,한국어를,초급,A,nói tiếng hàn
2884.0,가르침,명사,,,,C,
2913.0,가리다02,동사,,시야를 ~; 얼굴을,중급,B,tầm nhìn ~; khuôn mặt
2305.0,가리다03,동사,,시비를 ~,중급,B,Hãy chiến đấu nào~
