"expression","reading","meaning","tags","guid","meaning_vi"
"現像","げんぞう","developing (film)","JLPT_1 JLPT","v9bha+<cj}","đang phát triển (phim)"
"原則","げんそく","principle, general rule","JLPT_1 JLPT","dVC[`t${#`","nguyên tắc, nguyên tắc chung"
"見地","けんち","point of view","JLPT_1 JLPT","wk)a!>hpi:","quan điểm"
"現地","げんち","actual place, local","JLPT_1 JLPT","G$>SwAUY5:","địa điểm thực tế, địa phương"
"限定","げんてい","limit, restriction","JLPT_1 JLPT","o%F/8(![P3","giới hạn, hạn chế"
"原点","げんてん","origin (coordinates, starting point)","JLPT_1 JLPT","bXdt~Sz`DP","gốc (tọa độ, điểm bắt đầu)"
"原典","げんてん","original, source","JLPT_1 JLPT","EB`MVeV|+3","gốc, nguồn"
"原爆","げんばく","atomic bomb","JLPT_1 JLPT","qVu!~xa[nC","bom nguyên tử"
"原文","げんぶん","the text, original","JLPT_1 JLPT","w>egRzs&//","văn bản, nguyên bản"
"厳密","げんみつ","strict, close","JLPT_1 JLPT","k<}V}HBo:Y","chặt chẽ, khép kín"
"賢明","けんめい","wisdom, intelligence, prudence","JLPT_1 JLPT","rF6VPIq@Kt","sự khôn ngoan, sự thông minh, sự khôn ngoan"
"倹約","けんやく","thrift, economy, frugality","JLPT_1 JLPT","G)qGN7wCPF","tiết kiệm, kinh tế, tiết kiệm"
"原油","げんゆ","crude oil","JLPT_1 JLPT","mqzQ4phBV%","dầu thô"
"兼用","けんよう","multi-use, combined use","JLPT_1 JLPT","Q[mY;6;Blm","sử dụng đa năng, sử dụng kết hợp"
"権力","けんりょく","(political) power, authority, influence","JLPT_1 JLPT","zLBVbQJht)","(chính trị) quyền lực, quyền lực, ảnh hưởng"
"言論","げんろん","discussion, speech","JLPT_1 JLPT","j=]X!_Sn:<","thảo luận, phát biểu"
"故～","こ～","deceased, late","JLPT_1 JLPT","l<k2Hl<qF:","đã chết, muộn"
"語彙","ごい","vocabulary, glossary","JLPT_1 JLPT","dg-x#L-S>s","từ vựng, thuật ngữ"
"恋する","こいする","to fall in love with, to love","JLPT_1 JLPT","x>yH@(e$>B","yêu, yêu"
"甲","こう","1st in rank; shell","JLPT_1 JLPT","gr(P$T&hE)","hạng nhất; vỏ bọc"
"～光","～こう","light","JLPT_1 JLPT","dR[Ye:I0gD","ánh sáng"
"好意","こうい","good will, favor, courtesy","JLPT_1 JLPT","f{|~G`MfSc","thiện chí, ân huệ, lịch sự"
"行為","こうい","act, deed, conduct","JLPT_1 JLPT","x,?`vew_Y^","hành động, hành động, hành động"
"合意","ごうい","agreement, consent, mutual understanding","JLPT_1 JLPT","u5DPHkD^67","sự đồng ý, sự đồng ý, sự hiểu biết lẫn nhau"
