"expression","reading","meaning_en","meaning_vi"
"阿姨","ā yí","maternal aunt","dì ngoại"
"啊","a","modal particle ending sentence","câu kết thúc hạt phương thức"
"矮","ǎi","low","thấp"
"爱好","ài hào","to like","thích"
"安静","ān jìng","quiet","im lặng"
"把","bǎ","to hold","giữ"
"搬","bān","to move","di chuyển"
"班","bān","team","đội"
"半","bàn","half","một nửa"
"办法","bàn fǎ","means","có nghĩa"
"办公室","bàn gōng shì","office","văn phòng"
"帮忙","bāng máng","to help","để giúp đỡ"
"包","bāo","to cover","che đậy"
"饱","bǎo","to eat till full","ăn cho đến no"
"北方","běi fāng","north","phía bắc"
"被","bèi","quilt","chăn bông"
"鼻子","bí zi","nose","mũi"
"比较","bǐ jiào","to compare","để so sánh"
"比赛","bǐ sài","competition (sports etc)","sự cạnh tranh (thể thao, v.v.)"
"必须","bì xū","to have to","phải"
"变化","biàn huà","change","thay đổi"
"表示","biǎo shì","to express","để bày tỏ"
"表演","biǎo yǎn","play","chơi"
"别人","bié ren","other people","những người khác"
"宾馆","bīn guǎn","guesthouse","nhà khách"
"冰箱","bīng xiāng","icebox","thùng đá"
"才","cái","a moment ago","một lúc trước"
"菜单","cài dān","menu","thực đơn"
"参加","cān jiā","to participate","tham gia"
"草","cǎo","grass","cỏ"
"层","céng","layer","lớp"
"差","chà","to differ from","khác với"
"超市","chāo shì","supermarket (abbr.)","siêu thị (viết tắt)"
"衬衫","chèn shān","shirt","áo sơ mi"
"成绩","chéng jì","achievement","thành tích"
"城市","chéng shì","city","thành phố"
"迟到","chí dào","to arrive late","đến muộn"
"出现","chū xiàn","to appear","xuất hiện"
"除了","chú le","besides","bên cạnh đó"
"厨房","chú fáng","kitchen","phòng bếp"
"春","chūn","spring (time)","mùa xuân (thời gian)"
"词语","cí yǔ","word (general term including monosyllables through to short phrases)","từ (thuật ngữ chung bao gồm từ đơn âm tiết đến cụm từ ngắn)"
"聪明","cōng ming","acute (of sight and hearing)","cấp tính (về thị giác và thính giác)"
"打扫","dǎ sǎo","to clean","để làm sạch"
"打算","dǎ suàn","to plan","lên kế hoạch"
"带","dài","band","ban nhạc"
"担心","dān xīn","anxious","lo lắng"
"蛋糕","dàn gāo","cake","bánh ngọt"
"当然","dāng rán","only natural","chỉ tự nhiên"
"地","de","-ly","-ly"
"灯","dēng","lamp","đèn"
"低","dī","low","thấp"
"地方","dì fang","area","khu vực"
"地铁","dì tiě","subway","tàu điện ngầm"
"地图","dì tú","map","bản đồ"
"电梯","diàn tī","elevator","thang máy"
"电子","diàn zǐ","electronic","điện tử"
"冬","dōng","sound of beating a drum","âm thanh đánh trống"
"东","dōng","east","phía đông"
"动物","dòng wù","animal","động vật"
"短","duǎn","short or brief","ngắn gọn hoặc ngắn gọn"
"段","duàn","paragraph","đoạn văn"
"锻炼","duàn liàn","to engage in physical exercise","tham gia tập thể dục"
"多么","duō me","how (wonderful etc)","như thế nào (tuyệt vời, v.v.)"
"饿","è","to be hungry","bị đói"
"而且","ér qiě","(not only ...) but also","(không chỉ ...) mà còn"
"耳朵","ěr duo","ear","tai"
"发烧","fā shāo","to have a high temperature (from illness)","có nhiệt độ cao (do bệnh tật)"
"发现","fā xiàn","to find","để tìm"
"方便","fāng biàn","convenient","thuận lợi"
"放","fàng","to release","phát hành"
"放心","fàng xīn","to feel relieved","cảm thấy nhẹ nhõm"
"分","fēn","to divide","chia"
"附近","fù jìn","(in the) vicinity","(trong) vùng lân cận"
"复习","fù xí","variant of 復習|复习","biến thể của 復習|复习"
"干净","gān jìng","clean","lau dọn"
"敢","gǎn","to dare","dám"
"感冒","gǎn mào","to catch cold","bị cảm lạnh"
"刚才","gāng cái","(just) a moment ago","(chỉ) một lúc trước"
"根据","gēn jù","according to","theo"
"跟","gēn","heel","gót chân"
"更","gèng","more","hơn"
"公园","gōng yuán","public park","công viên công cộng"
"故事","gù shi","narrative","chuyện kể"
"刮","guā","to blow (of the wind)","thổi (gió)"
"关","guān","mountain pass","đèo núi"
"关系","guān xì","variant of 關係|关系[guān xì]","biến thể của 關係|关系[guān xì]"
"关心","guān xīn","to care for sth","chăm sóc cho cái gì đó"
"关于","guān yú","pertaining to","liên quan đến"
"国家","guó jiā","country","quốc gia"
"果汁","guǒ zhī","fruit juice","nước ép trái cây"
"过去","guò qu","(in the) past","(trong) quá khứ"
"还是","hái shi","or","hoặc"
"害怕","hài pà","to be afraid","sợ hãi"
"河","hé","river","dòng sông"
"黑板","hēi bǎn","blackboard","bảng đen"
"护照","hù zhào","passport","hộ chiếu"
"花","huā","flower","hoa"
"花园","huā yuán","garden","vườn"
"画","huà","to draw","vẽ"
"坏","huài","bad","xấu"
"环境","huán jìng","environment","môi trường"
"换","huàn","to change","thay đổi"
"黄","huáng","yellow","màu vàng"
"会议","huì yì","meeting","cuộc họp"
"或者","huò zhě","or","hoặc"
"机会","jī huì","opportunity","cơ hội"
"几乎","jī hū","almost","hầu hết"
"极","jí","extremely","vô cùng"
"记得","jì de","to remember","để nhớ"
"季节","jì jié","time","thời gian"
"检查","jiǎn chá","inspection","điều tra"
"简单","jiǎn dān","simple","đơn giản"
"见面","jiàn miàn","to meet","gặp gỡ"
"健康","jiàn kāng","health","sức khỏe"
"讲","jiǎng","to speak","nói chuyện"
"教","jiāo","to teach","dạy"
"脚","jiǎo","foot","chân"
"角","jiǎo","angle","góc"
"接","jiē","to receive","để nhận"
"街道","jiē dào","street","đường phố"
"节目","jié mù","program","chương trình"
"节日","jié rì","holiday","ngày lễ"
"结婚","jié hūn","to marry","kết hôn"
"结束","jié shù","termination","chấm dứt"
"解决","jiě jué","to settle (a dispute)","giải quyết (một tranh chấp)"
"借","jiè","to lend","cho vay"
"经常","jīng cháng","day to day","ngày qua ngày"
"经过","jīng guò","to pass","vượt qua"
"经理","jīng lǐ","manager","giám đốc"
"久","jiǔ","(long) time","(dài) thời gian"
"旧","jiù","old","cũ"
"举行","jǔ xíng","to hold (a meeting","tổ chức (một cuộc họp"
"句子","jù zi","sentence","câu"
"决定","jué dìng","to decide (to do something)","quyết định (làm gì đó)"
"渴","kě","thirsty","khát"
"可爱","kě ài","adorable","đáng yêu"
"刻","kè","quarter (hour)","một phần tư (giờ)"
"客人","kè rén","visitor","du khách"
"空调","kōng tiáo","air conditioning","điều hòa không khí"
"口","kǒu","mouth","miệng"
"哭","kū","to cry","khóc"
"裤子","kù zi","trousers","quần dài"
"筷子","kuài zi","chopsticks","đũa"
"蓝","lán","blue","màu xanh da trời"
"老","lǎo","old","cũ"
"离开","lí kāi","to depart","khởi hành"
"礼物","lǐ wù","gift","quà"
"历史","lì shǐ","history","lịch sử"
"脸","liǎn","face","khuôn mặt"
"练习","liàn xí","exercise","bài tập"
"辆","liàng","classifier for vehicles","phân loại xe cộ"
"了解","liǎo jiě","to understand","để hiểu"
"邻居","lín jū","neighbor","hàng xóm"
"楼","lóu","house with more than 1 story","nhà nhiều hơn 1 tầng"
"绿","lǜ","green","màu xanh lá"
"马","mǎ","horse","ngựa"
"马上","mǎ shàng","at once","cùng một lúc"
"满意","mǎn yì","satisfied","thỏa mãn"
"帽子","mào zi","hat","mũ"
"米","mǐ","rice","cơm"
"面包","miàn bāo","bread","bánh mỳ"
"面条","miàn tiáo","noodles","mì"
"明白","míng bai","clear","thông thoáng"
"拿","ná","to hold","giữ"
"奶奶","nǎi nai","(informal) grandma (paternal grandmother)","(thông tục) bà nội (bà nội)"
"南","nán","south","phía nam"
"难","nán","difficult (to...)","khó khăn (để...)"
"难过","nán guò","to feel sad","cảm thấy buồn"
"年级","nián jí","grade","cấp"
"年轻","nián qīng","young","trẻ"
"鸟","niǎo","bird","chim"
"努力","nǔ lì","great effort","nỗ lực lớn"
"爬山","pá shān","to climb a mountain","leo lên một ngọn núi"
"盘子","pán zi","tray","khay"
"胖","pàng","fat","mập"
"啤酒","pí jiǔ","beer","bia"
"葡萄","pú tao","grape","quả nho"
"普通话","pǔ tōng huà","Mandarin (common language)","Tiếng phổ thông (ngôn ngữ phổ thông)"
"骑","qí","to ride (an animal or bike)","cưỡi (một con vật hoặc một chiếc xe đạp)"
"其实","qí shí","actually","Thực ra"
"其他","qí tā","other","khác"
"奇怪","qí guài","strange","lạ lùng"
"铅笔","qiān bǐ","(lead) pencil","(chì) bút chì"
"清楚","qīng chu","clear","thông thoáng"
"秋","qiū","a swing","một chiếc xích đu"
"裙子","qún zi","skirt","váy ngắn"
"然后","rán hòu","after","sau đó"
"热情","rè qíng","cordial","thân mật"
"认为","rèn wéi","to believe","tin tưởng"
"认真","rèn zhēn","conscientious","tận tâm"
"容易","róng yì","easy","dễ"
"如果","rú guǒ","if","nếu như"
"伞","sǎn","umbrella","Chiếc ô"
"上网","shàng wǎng","to be on the internet","để có mặt trên internet"
"生气","shēng qì","angry","tức giận"
"声音","shēng yīn","voice","tiếng nói"
"使","shǐ","to make","làm"
"世界","shì jiè","world","thế giới"
"瘦","shòu","thin","gầy"
"舒服","shū fu","comfortable","thoải mái"
"叔叔","shū shu","father's younger brother","em trai của bố"
"树","shù","tree","cây"
"数学","shù xué","mathematics","toán học"
"刷","shuā","to brush","chải"
"双","shuāng","two","hai"
"水平","shuǐ píng","level (of achievement etc)","mức độ (thành tích, v.v.)"
"司机","sī jī","chauffeur","tài xế"
"虽然","suī rán","although","mặc dù"
"太阳","tài yáng","sun","mặt trời"
"糖","táng","sugar","đường"
"特别","tè bié","especially","đặc biệt"
"疼","téng","(it) hurts","(nó) đau"
"提高","tí gāo","to raise","nâng cao"
"体育","tǐ yù","sports","các môn thể thao"
"甜","tián","sweet","ngọt"
"条","tiáo","strip","dải"
"同事","tóng shì","colleague","đồng nghiệp"
"同意","tóng yì","to agree","đồng ý"
"头发","tóu fa","hair (on the head)","tóc (trên đầu)"
"突然","tū rán","sudden","đột ngột"
"图书馆","tú shū guǎn","library","thư viện"
"腿","tuǐ","leg","chân"
"完成","wán chéng","to complete","để hoàn thành"
"碗","wǎn","bowl","cái bát"
"万","wàn","ten thousand","mười nghìn"
"忘记","wàng jì","to forget","quên"
"为了","wèi le","in order to","để"
"为什么","wèi shén me","why?","Tại sao?"
"位","wèi","position","chức vụ"
"文化","wén huà","culture","văn hoá"
"西","xī","west","hướng tây"
"习惯","xí guàn","habit","thói quen"
"洗手间","xǐ shǒu jiān","toilet","nhà vệ sinh"
"洗澡","xǐ zǎo","to bathe","tắm"
"夏","xià","summer","mùa hè"
"先","xiān","early","sớm"
"香蕉","xiāng jiāo","banana","chuối"
"相同","xiāng tóng","identical","giống hệt nhau"
"相信","xiāng xìn","to be convinced (that sth is true)","bị thuyết phục (điều đó là đúng)"
"像","xiàng","to resemble","giống với"
"小心","xiǎo xīn","to be careful","phải cẩn thận"
"校长","xiào zhǎng","(college","(trường cao đẳng"
"鞋","xié","shoe","giày"
"新闻","xīn wén","news","tin tức"
"新鲜","xīn xiān","fresh (experience","mới mẻ (kinh nghiệm"
"信","xìn","letter","thư"
"行李箱","xíng li xiāng","suitcase","va li"
"兴趣","xìng qù","interest (desire to know about sth)","sự quan tâm (mong muốn biết về cái gì đó)"
